epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,29335.5,0.8893,0.97238,1.20179,0.82577,0.81654,0.76196,0.83746,0.63355,0.89359,0.76313,1.14841,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,29762.5,0.88377,0.96365,1.20228,0.8127,0.81399,0.76449,0.83805,0.63422,0.89356,0.7624,1.14821,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,30170.1,0.87814,0.95702,1.19632,0.8143,0.81832,0.76194,0.83836,0.6341,0.89318,0.76214,1.14777,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,30599.5,0.87603,0.95362,1.19631,0.80906,0.81713,0.76353,0.83885,0.63472,0.89296,0.76128,1.14763,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,31022.3,0.87023,0.95189,1.19163,0.80499,0.81768,0.76206,0.83858,0.63446,0.89266,0.76039,1.1473,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,31464,0.87553,0.94647,1.19373,0.80776,0.81822,0.76272,0.83915,0.63475,0.89247,0.75963,1.14716,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,31883.6,0.87324,0.94342,1.19265,0.79193,0.81963,0.76074,0.8393,0.63488,0.89192,0.75853,1.14683,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,32301.9,0.86934,0.93435,1.19079,0.79606,0.82318,0.75913,0.83961,0.63527,0.89169,0.75767,1.14668,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,32713.3,0.86408,0.93294,1.18574,0.79451,0.81758,0.76331,0.83983,0.63535,0.89153,0.75671,1.14653,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,33143.6,0.86602,0.9267,1.18615,0.78847,0.81814,0.76293,0.84001,0.63573,0.89133,0.75572,1.14614,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,33575.6,0.85875,0.92186,1.18406,0.78531,0.82258,0.76193,0.84046,0.63584,0.89087,0.7548,1.14579,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,33993.2,0.85859,0.91447,1.18086,0.78491,0.82178,0.76338,0.84081,0.63642,0.89047,0.75397,1.14544,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,34406.2,0.86419,0.92168,1.18412,0.77836,0.82119,0.76455,0.84093,0.63688,0.89004,0.75341,1.14509,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,34831.1,0.85385,0.90802,1.17966,0.77726,0.81884,0.76564,0.84113,0.63703,0.88966,0.75237,1.14482,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,35266,0.84656,0.90421,1.17707,0.77878,0.81795,0.76698,0.84129,0.63732,0.8897,0.75161,1.14484,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,35683.3,0.85017,0.89851,1.17718,0.77412,0.81794,0.76727,0.84144,0.63726,0.88963,0.75103,1.14478,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
