epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1761.26,1.54556,1.09804,0.01052,0.63262,0.75644,0.62766,0.70901,0.37165,1.86148,1.19434,0.02308,0.000530216,0.000530216,0.000530216
54,1797.41,1.53935,1.09982,0.01073,0.63115,0.67497,0.67417,0.70701,0.3692,1.79072,1.29602,0.02146,0.000526682,0.000526682,0.000526682
55,1833.7,1.52167,1.09669,0.0107,0.62455,0.63886,0.64644,0.65905,0.32615,1.98643,1.27799,0.0242,0.000523148,0.000523148,0.000523148
56,1869.84,1.52305,1.04622,0.01037,0.61746,0.63105,0.66681,0.70353,0.36651,1.78487,1.26643,0.02211,0.000519613,0.000519613,0.000519613
57,1906.11,1.50884,1.0567,0.01043,0.61868,0.73242,0.64257,0.73007,0.37206,1.87231,1.15942,0.02285,0.000516079,0.000516079,0.000516079
58,1942.34,1.52719,1.0483,0.01043,0.61605,0.64034,0.67073,0.68825,0.35691,1.86607,1.26101,0.02284,0.000512545,0.000512545,0.000512545
59,1978.51,1.52542,1.07539,0.01026,0.60829,0.57938,0.66067,0.66332,0.35251,1.85979,1.27983,0.02285,0.000509011,0.000509011,0.000509011
60,2014.61,1.51803,1.03577,0.01037,0.60478,0.59044,0.6219,0.61577,0.31602,1.89406,1.572,0.02411,0.000505476,0.000505476,0.000505476
61,2050.78,1.50872,1.00534,0.01056,0.60927,0.668,0.6532,0.67558,0.34406,1.93534,1.25923,0.02296,0.000501942,0.000501942,0.000501942
62,2086.75,1.4938,1.02937,0.01026,0.60313,0.7362,0.62463,0.67857,0.36279,1.83911,1.26954,0.02185,0.000498408,0.000498408,0.000498408
63,2122.88,1.47447,0.99701,0.00994,0.59983,0.66589,0.62094,0.68267,0.3662,1.85255,1.27667,0.02312,0.000494873,0.000494873,0.000494873
64,2159.17,1.48481,1.00312,0.01007,0.59818,0.68014,0.67879,0.71841,0.35491,1.92282,1.16797,0.02463,0.000491339,0.000491339,0.000491339
65,2195.47,1.49463,0.99177,0.01023,0.59202,0.63159,0.6707,0.68094,0.35304,1.89072,1.19868,0.02262,0.000487805,0.000487805,0.000487805
66,2231.71,1.46418,0.9606,0.01006,0.59034,0.69157,0.6525,0.69377,0.36698,1.87684,1.239,0.02284,0.000484271,0.000484271,0.000484271
67,2268,1.47805,0.96587,0.00962,0.58268,0.72847,0.64375,0.7058,0.38002,1.83713,1.25436,0.02316,0.000480736,0.000480736,0.000480736
68,2304.31,1.47323,0.94665,0.01005,0.58538,0.67181,0.68581,0.71746,0.38867,1.80699,1.22458,0.02231,0.000477202,0.000477202,0.000477202
69,2340.53,1.49204,0.9485,0.00983,0.57935,0.7057,0.66945,0.73434,0.39572,1.84048,1.191,0.02213,0.000473668,0.000473668,0.000473668
70,2377.33,1.44574,0.9419,0.01022,0.57897,0.69154,0.72009,0.72786,0.37156,1.86248,1.19892,0.02331,0.000470133,0.000470133,0.000470133
71,2413.47,1.46662,0.9433,0.00984,0.57534,0.76481,0.71278,0.75181,0.37928,1.85224,1.13572,0.02226,0.000466599,0.000466599,0.000466599
72,2449.77,1.45457,0.93519,0.00975,0.5716,0.70727,0.67731,0.72381,0.38334,1.81103,1.15926,0.02255,0.000463065,0.000463065,0.000463065
73,2486.71,1.46899,0.95992,0.00989,0.56659,0.70357,0.64311,0.70854,0.36759,1.87038,1.24003,0.02337,0.00045953,0.00045953,0.00045953
74,2521.81,1.45897,0.95039,0.00984,0.56856,0.7126,0.65352,0.67947,0.35721,1.82394,1.39129,0.02188,0.000455996,0.000455996,0.000455996
75,2556.01,1.46509,0.95672,0.01028,0.56491,0.73853,0.62625,0.71373,0.38938,1.88122,1.14168,0.02311,0.000452462,0.000452462,0.000452462
76,2592.51,1.43243,0.9126,0.0097,0.55884,0.67775,0.68578,0.69838,0.3718,1.89066,1.20032,0.02268,0.000448928,0.000448928,0.000448928
77,2628.87,1.45853,0.91676,0.0099,0.55577,0.70845,0.6582,0.69038,0.37163,1.87463,1.18249,0.02398,0.000445393,0.000445393,0.000445393
78,2665.53,1.41058,0.89674,0.00932,0.55646,0.62441,0.70386,0.70574,0.37347,1.89093,1.2283,0.02362,0.000441859,0.000441859,0.000441859
79,2696.17,1.42473,0.92254,0.0093,0.5529,0.70652,0.68324,0.71328,0.36475,1.88794,1.16141,0.02317,0.000438325,0.000438325,0.000438325
80,2726.18,1.43938,0.91738,0.00943,0.54859,0.69518,0.62634,0.68571,0.3678,1.82459,1.23231,0.0214,0.00043479,0.00043479,0.00043479
81,2756.2,1.40854,0.88957,0.0093,0.55241,0.75488,0.6107,0.69914,0.35947,1.87406,1.25382,0.02317,0.000431256,0.000431256,0.000431256
82,2786.25,1.4028,0.8806,0.00941,0.54504,0.71577,0.68497,0.72228,0.37621,1.88506,1.14608,0.02364,0.000427722,0.000427722,0.000427722
83,2816.48,1.41393,0.89119,0.00925,0.53972,0.66705,0.65686,0.6891,0.37707,1.85401,1.25878,0.0225,0.000424187,0.000424187,0.000424187
84,2846.49,1.38034,0.85611,0.00941,0.54483,0.64424,0.67248,0.68243,0.36339,1.90889,1.24487,0.02287,0.000420653,0.000420653,0.000420653
85,2876.42,1.41299,0.85399,0.00933,0.53803,0.67226,0.59299,0.65275,0.34234,1.91838,1.42491,0.02379,0.000417119,0.000417119,0.000417119
86,2906.66,1.37865,0.82571,0.00933,0.5387,0.67689,0.70558,0.72147,0.38305,1.85691,1.19552,0.0227,0.000413584,0.000413584,0.000413584
87,2936.69,1.38317,0.84566,0.00926,0.53742,0.63545,0.67039,0.65861,0.35834,1.88738,1.29259,0.02244,0.00041005,0.00041005,0.00041005
88,2966.84,1.41119,0.84996,0.00922,0.53459,0.69814,0.69932,0.71201,0.35933,1.86618,1.1991,0.02252,0.000406516,0.000406516,0.000406516
89,2997.09,1.39079,0.87135,0.00912,0.53099,0.75468,0.66831,0.72968,0.37527,1.87265,1.24001,0.02231,0.000402982,0.000402982,0.000402982
90,3027.17,1.37949,0.8309,0.00912,0.53193,0.68489,0.68717,0.70604,0.38179,1.88678,1.20126,0.02359,0.000399447,0.000399447,0.000399447
91,3057.29,1.36967,0.80385,0.00888,0.52862,0.58061,0.69141,0.6546,0.34274,1.91573,1.33652,0.02391,0.000395913,0.000395913,0.000395913
92,3087.34,1.34106,0.79173,0.00882,0.52568,0.7062,0.66872,0.67815,0.35121,1.89556,1.25747,0.02371,0.000392379,0.000392379,0.000392379
93,3117.33,1.35482,0.80788,0.00902,0.52331,0.69697,0.71895,0.71039,0.38025,1.89218,1.19283,0.02344,0.000388844,0.000388844,0.000388844
94,3147.44,1.36367,0.81115,0.00925,0.52246,0.73956,0.66525,0.70561,0.37869,1.85146,1.20648,0.02218,0.00038531,0.00038531,0.00038531
95,3177.53,1.35734,0.82677,0.00868,0.52248,0.66164,0.67168,0.69158,0.36373,1.91714,1.31892,0.02356,0.000381776,0.000381776,0.000381776
96,3207.68,1.32683,0.79802,0.0088,0.5161,0.73958,0.64426,0.69885,0.38201,1.8664,1.24368,0.02261,0.000378242,0.000378242,0.000378242
97,3237.51,1.34588,0.80477,0.00878,0.5179,0.70451,0.67926,0.7118,0.37818,1.87026,1.18678,0.0218,0.000374707,0.000374707,0.000374707
98,3267.38,1.333,0.78799,0.00866,0.51547,0.70677,0.70756,0.71408,0.36966,1.91188,1.18039,0.02323,0.000371173,0.000371173,0.000371173
99,3300.12,1.29428,0.76396,0.00868,0.51544,0.73635,0.67773,0.70531,0.37163,1.90863,1.17402,0.02325,0.000367639,0.000367639,0.000367639
100,3333.38,1.33218,0.78288,0.00881,0.51376,0.67631,0.71185,0.70007,0.38598,1.83496,1.1559,0.02211,0.000364104,0.000364104,0.000364104
101,3365.48,1.32675,0.78424,0.00856,0.51104,0.79341,0.6737,0.7306,0.389,1.83669,1.16586,0.02174,0.00036057,0.00036057,0.00036057
102,3398.68,1.33018,0.76489,0.00868,0.50722,0.71078,0.70592,0.72062,0.38603,1.88414,1.1996,0.02316,0.000357036,0.000357036,0.000357036
103,3430.04,1.29415,0.73051,0.00832,0.5047,0.68073,0.67057,0.69386,0.3691,1.89289,1.17815,0.0232,0.000353501,0.000353501,0.000353501
104,3461.3,1.28715,0.73995,0.00851,0.50758,0.71293,0.67023,0.70636,0.36399,1.91664,1.20884,0.02323,0.000349967,0.000349967,0.000349967
105,3494.12,1.31867,0.78442,0.00851,0.50476,0.72642,0.70881,0.71763,0.37275,1.8542,1.27576,0.02205,0.000346433,0.000346433,0.000346433
106,3527.88,1.29524,0.74166,0.00824,0.50073,0.71889,0.62796,0.69119,0.36345,1.93162,1.21579,0.02334,0.000342899,0.000342899,0.000342899
107,3561.44,1.29594,0.7402,0.00841,0.50062,0.64224,0.69548,0.69015,0.36751,1.93218,1.12409,0.02377,0.000339364,0.000339364,0.000339364
108,3598.74,1.29112,0.71915,0.00822,0.50048,0.66298,0.67265,0.69788,0.37764,1.90576,1.2501,0.02283,0.00033583,0.00033583,0.00033583
109,3631.82,1.29933,0.72237,0.00852,0.49858,0.72088,0.68772,0.72198,0.37497,1.90161,1.19494,0.02289,0.000332296,0.000332296,0.000332296
110,3665.11,1.30117,0.74318,0.00806,0.4972,0.70877,0.67552,0.70757,0.3849,1.87108,1.16379,0.02279,0.000328761,0.000328761,0.000328761
111,3699.53,1.27003,0.73455,0.00815,0.49287,0.66234,0.67666,0.70564,0.37112,1.9304,1.25075,0.02266,0.000325227,0.000325227,0.000325227
112,3736.4,1.27245,0.71741,0.00815,0.4937,0.73006,0.71246,0.73818,0.37532,1.86571,1.22424,0.02266,0.000321693,0.000321693,0.000321693
113,3769.09,1.27472,0.737,0.00871,0.49347,0.73134,0.61708,0.7014,0.37246,1.87599,1.20589,0.02251,0.000318158,0.000318158,0.000318158
114,3800.93,1.27201,0.72521,0.00823,0.48809,0.71278,0.66948,0.73067,0.38295,1.88738,1.1977,0.02306,0.000314624,0.000314624,0.000314624
115,3834.56,1.25702,0.71396,0.00832,0.48754,0.79408,0.71263,0.75506,0.3992,1.89093,1.15492,0.02323,0.00031109,0.00031109,0.00031109
116,3868,1.27556,0.70349,0.00823,0.48719,0.69539,0.67807,0.70106,0.36727,1.9028,1.18263,0.02353,0.000307555,0.000307555,0.000307555
117,3900.89,1.25021,0.70661,0.00796,0.48583,0.69547,0.69081,0.72511,0.38044,1.85613,1.18473,0.02217,0.000304021,0.000304021,0.000304021
118,3935.3,1.24377,0.70639,0.00811,0.48589,0.70497,0.73082,0.73477,0.39642,1.84966,1.23965,0.0223,0.000300487,0.000300487,0.000300487
119,3968.72,1.23776,0.7126,0.00809,0.481,0.66024,0.68746,0.68349,0.35968,1.90518,1.22961,0.02336,0.000296953,0.000296953,0.000296953
120,4002.04,1.2505,0.7069,0.00814,0.48155,0.74699,0.69506,0.73109,0.3739,1.9013,1.21631,0.02337,0.000293418,0.000293418,0.000293418
121,4034.13,1.23677,0.70758,0.0081,0.48077,0.6873,0.6672,0.69241,0.37042,1.91859,1.26883,0.02304,0.000289884,0.000289884,0.000289884
122,4064.92,1.24138,0.69522,0.00801,0.47944,0.75217,0.65803,0.70966,0.37973,1.92368,1.12659,0.02351,0.00028635,0.00028635,0.00028635
123,4097.81,1.25123,0.70527,0.00801,0.4788,0.67768,0.68473,0.70056,0.38422,1.86813,1.26124,0.02287,0.000282815,0.000282815,0.000282815
124,4127.51,1.22248,0.68333,0.00773,0.47451,0.6627,0.66455,0.66935,0.36907,1.90906,1.25241,0.0236,0.000279281,0.000279281,0.000279281
125,4160.01,1.22134,0.68659,0.00775,0.47844,0.61236,0.59601,0.63821,0.34859,1.98443,1.39114,0.02459,0.000275747,0.000275747,0.000275747
126,4191.63,1.21267,0.65939,0.00743,0.47471,0.71593,0.70132,0.7121,0.39121,1.87007,1.26531,0.02237,0.000272212,0.000272212,0.000272212
127,4224.64,1.21474,0.66489,0.00763,0.47039,0.6554,0.69658,0.68994,0.37141,1.91391,1.2289,0.0232,0.000268678,0.000268678,0.000268678
128,4258.07,1.21708,0.67736,0.00776,0.47,0.6703,0.68572,0.68217,0.36401,1.92499,1.295,0.02332,0.000265144,0.000265144,0.000265144
129,4293.36,1.19789,0.6629,0.00773,0.47088,0.73338,0.6768,0.70076,0.37596,1.94564,1.26906,0.02328,0.00026161,0.00026161,0.00026161
130,4326.95,1.21329,0.67373,0.00782,0.4673,0.63512,0.70092,0.69494,0.37616,1.88527,1.28147,0.02283,0.000258075,0.000258075,0.000258075
131,4359.51,1.20523,0.65782,0.00745,0.46636,0.72025,0.62364,0.65757,0.35686,1.95133,1.38995,0.02449,0.000254541,0.000254541,0.000254541
132,4392.61,1.1902,0.65269,0.00763,0.46572,0.66213,0.67719,0.70688,0.3681,1.93306,1.25931,0.02336,0.000251007,0.000251007,0.000251007
