epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1921.44,1.35763,0.79363,0.00888,0.63231,0.66111,0.65757,0.68101,0.36767,1.91291,1.15534,0.02358,0.000282815,0.000282815,0.000282815
63,1958.48,1.34166,0.76549,0.00861,0.62997,0.64572,0.64488,0.67357,0.36332,1.94178,1.11874,0.02361,0.000275747,0.000275747,0.000275747
64,1996.38,1.33568,0.76142,0.0086,0.62652,0.66416,0.64148,0.67083,0.35746,1.9647,1.10246,0.02461,0.000268678,0.000268678,0.000268678
65,2034.48,1.32423,0.75743,0.00857,0.62115,0.713,0.67932,0.69193,0.35769,1.94982,1.09287,0.02366,0.00026161,0.00026161,0.00026161
66,2068.48,1.31832,0.74949,0.00874,0.62183,0.74616,0.65987,0.6789,0.36764,1.89008,1.21783,0.02331,0.000254541,0.000254541,0.000254541
67,2102.14,1.32755,0.75717,0.00817,0.61483,0.6628,0.65573,0.67445,0.36087,1.89937,1.19379,0.02352,0.000247472,0.000247472,0.000247472
68,2136.26,1.33195,0.76971,0.00866,0.61825,0.66014,0.67474,0.68976,0.381,1.89203,1.13168,0.02331,0.000240404,0.000240404,0.000240404
69,2171.43,1.31312,0.74676,0.0083,0.61139,0.72615,0.6711,0.69443,0.37456,1.93223,1.10411,0.02414,0.000233335,0.000233335,0.000233335
70,2208.43,1.29226,0.72128,0.00861,0.61135,0.78751,0.67779,0.68489,0.36187,1.93843,1.14605,0.0238,0.000226267,0.000226267,0.000226267
71,2241.4,1.31017,0.73383,0.00844,0.60953,0.67353,0.66404,0.66514,0.35622,1.95447,1.16473,0.02424,0.000219198,0.000219198,0.000219198
72,2273.85,1.30768,0.72606,0.00827,0.60594,0.62718,0.66095,0.64561,0.34596,1.95878,1.18377,0.02452,0.000212129,0.000212129,0.000212129
73,2306.28,1.31247,0.74653,0.00853,0.60173,0.77371,0.63085,0.67103,0.36763,1.90073,1.20434,0.02352,0.000205061,0.000205061,0.000205061
74,2339.78,1.29899,0.74008,0.00828,0.6043,0.63877,0.64604,0.64554,0.35417,1.91902,1.15461,0.02397,0.000197992,0.000197992,0.000197992
75,2371.78,1.3058,0.74355,0.00847,0.60115,0.71897,0.67753,0.67974,0.35834,1.91337,1.16007,0.02404,0.000190924,0.000190924,0.000190924
76,2404.76,1.27785,0.72887,0.00811,0.5967,0.75807,0.6448,0.6805,0.37366,1.91336,1.11218,0.02363,0.000183855,0.000183855,0.000183855
77,2438.42,1.28847,0.73522,0.00818,0.59522,0.82986,0.62376,0.69162,0.37767,1.89167,1.13962,0.02367,0.000176786,0.000176786,0.000176786
